StationName,StationID,μₑ,ϕₑ,ξₑ,BIC
BEECHWOOD,8100512,49.403555860657555,2.074966396769933,1.0137386757696123,90.44447997395002
BELLEDUNE,8100514,40.68407211775979,2.400435722800875,-0.07868364367417932,149.74091476371422
BOUCTOUCHE CDA CS,8100593,54.79866330685619,2.6067700534920744,-0.18622981644906367,146.95588235695607
CHARLO AUTO,8100885,48.36364868188983,2.6594178607377588,0.013852516663059625,444.8589405639664
MIRAMICHI RCS,8100989,49.269569134203564,2.7577527427753648,0.08262890663039417,335.01540936569717
EDMUNDSTON,8101303,51.63618322793215,2.904783286007258,-0.3747425014507444,110.21674545094349
FREDERICTON A,8101500,48.80062115057683,2.4126342723723604,0.29561374803259743,98.77993255421863
FREDERICTON CDA CS,8101605,55.27938908595113,2.7352407384253703,-0.004411436588857844,460.3027727861534
MONCTON INTL A,8103201,51.44592470816123,2.8591228231534087,0.05126537807688398,611.4267519317032
ROYAL ROAD,8104480,48.85006525799956,2.5098294713996956,0.14263024096579224,226.66124813692957
ROYAL ROAD WEST,8104482,50.14925687437814,2.4034447885281987,0.16993902855386583,105.41355293296144
SAINT JOHN,8104800,58.52769216531095,2.6078801962719402,0.501681758408765,187.2990718919408
SAINT JOHN A,8104900,65.88009673662484,2.78944221132481,0.2241103719531115,379.8134433928218
ST LEONARD A,8104928,49.389828339515034,2.5754871625390976,-0.23836957940404283,243.35693441132477
SUMMIT DEPOT,8105100,41.54619389560075,2.5507417180555865,0.032579018084813824,149.53638861764017
ARGENTIA (AUT),8400104,54.28005586950944,2.549588246714211,0.6342271130674592,160.90981813131935
BURGEO NL,8400801,66.04403431364824,2.530819608483052,-0.05061199754029006,288.16251220425056
COMFORT COVE,8401259,40.964523355087664,2.3636224813418867,0.0071091513681173025,230.90926827211257
DANIELS HARBOUR,8401400,45.512848622838625,2.689087223336408,0.25138179892422075,239.30634206997064
DEER LAKE A,8401501,40.27110121375857,2.130409687563703,-0.07272449668135218,274.80087996157636
GANDER AIRPORT CS,8401705,41.853865734550695,2.471422925890078,0.12081229760147538,605.9462086521844
LA SCIE,8402520,48.63838610162955,2.4461586518942537,-0.1629238448315597,93.83844398039798
PORT AUX BASQUES,8402975,66.88692568574216,3.0171499077053587,-0.22205096263432644,188.14690664964772
ST ALBANS,8403290,74.29429192356783,3.076427066634966,0.061441852302774415,139.38596543892797
ST ANTHONY,8403401,47.41761018965896,2.4576043484549244,-0.0944529276088451,193.04956350280304
ST JOHN'S A,8403506,59.921281933101056,2.688178934906418,-0.36897401649436257,303.9999808484671
ST LAWRENCE,8403619,63.293138297702065,2.8001894945112973,0.1775906941397482,342.0806478511423
STEPHENVILLE RCS,8403820,53.03586214232649,2.637573816774733,0.10195123969579696,421.7232597420697
