StationName,StationID,μₒ,ϕₒ,ξₒ
BEECHWOOD,8100512,49.40324454838526,2.0749348925706395,1.0137256588192085
BELLEDUNE,8100514,40.68393926464521,2.400442662246993,-0.07868040911770294
BOUCTOUCHE CDA CS,8100593,54.7988878785348,2.6067784976330395,-0.18621255191699426
CHARLO AUTO,8100885,48.36366451866772,2.6594086095071425,0.013849250803988262
MIRAMICHI RCS,8100989,49.26950981605006,2.7577453849205,0.08263294182758343
EDMUNDSTON,8101303,51.63584710574969,2.9047428279752956,-0.37471260912609927
FREDERICTON A,8101500,60.690909090909095,3.4057757500185,0.0
FREDERICTON CDA CS,8101605,55.27866854081458,2.7352138981428933,-0.0043912838271349935
MONCTON INTL A,8103201,51.44583714827441,2.859122355489793,0.05126024038596817
ROYAL ROAD,8104480,48.8497582630242,2.50979722268391,0.14263790297251938
ROYAL ROAD WEST,8104482,50.149320071371285,2.4034591960568132,0.1699413129317874
SAINT JOHN,8104800,58.52745549141466,2.6078814008705593,0.5017445517399307
SAINT JOHN A,8104900,65.8798972161551,2.789448229196278,0.2241056332001452
ST LEONARD A,8104928,49.38960451505706,2.575501598666776,-0.2383873709655231
SUMMIT DEPOT,8105100,41.54581961391515,2.550740290563601,0.03256211478461103
ARGENTIA (AUT),8400104,74.70588235294119,3.7198253599497924,0.0
BURGEO NL,8400801,66.04420076302303,2.5308320043593855,-0.050621419782254345
COMFORT COVE,8401259,40.964588910935255,2.363626674438219,0.007123318258435126
DANIELS HARBOUR,8401400,45.51286354923667,2.689096746366095,0.2514021890139231
DEER LAKE A,8401501,40.271065549948474,2.1303938517947687,-0.07272056859395375
GANDER AIRPORT CS,8401705,41.853867225705486,2.4714189938289213,0.12080745892423601
LA SCIE,8402520,48.63765878902696,2.4461017378066314,-0.1628265847375098
PORT AUX BASQUES,8402975,66.88649490537995,3.0171422393646097,-0.22204251099668362
ST ALBANS,8403290,74.29486053099579,3.0764184444096734,0.06144052461311148
ST ANTHONY,8403401,47.417573983990515,2.4576158364001643,-0.09449328873551595
ST JOHN'S A,8403506,59.92164880499881,2.6882141344797246,-0.3690191903479102
ST LAWRENCE,8403619,63.29262314901431,2.800180559372053,0.17759767849408406
STEPHENVILLE RCS,8403820,53.036046832755915,2.6375836796143055,0.10195508534423842
TWILLINGATE (AUT),8404025,45.83388624183903,2.0114141695516428,0.1894285449600282
BATTLE HARBOUR LOR,8500398,42.852949185943785,2.4938675571127287,-0.34315812078413943
CHURCHILL FALLS A,8501132,32.33582738560479,1.8933730614026458,0.016153508894576764
GOOSE A,8501900,37.653927365393514,2.306774398644758,-0.08533893799173888
MARY'S HARBOUR A,8502591,35.211608063620645,2.4719451830769805,0.01175391900637451
NAIN,8502799,39.13492982599304,2.3911073992389196,-0.38784920207127627
WABUSH LAKE A,8504175,31.52400413775254,2.035611585132875,-0.005714816051641189
CARIBOU POINT (AUT),8200774,52.367884471192966,2.412394104221911,-0.0953215258244446
EDDY POINT,8201716,68.58663758329715,2.697405683844255,-0.6023806434938297
GREENWOOD A,8202000,52.808664227058735,2.646722700160502,-0.010218190566900329
HALIFAX,8202200,53.57548405094607,2.916116086352671,0.4009046232394918
HALIFAX INTL A,8202251,67.28782634901293,2.504587617529151,0.20723515209883797
INGONISH BEACH,8202500,75.88833720789992,3.0586675673584844,-0.009249428912612781
KENTVILLE CDA CS,8202810,53.03214849973324,2.736829286160676,-0.040164055324188416
NAPPAN AUTO,8203702,61.49975449328691,2.8678013595934826,-0.3192439816577833
SABLE ISLAND,8204700,61.9940701745967,2.7552511704348075,0.09387713196041288
SHARPE BROOK IHD,8205085,78.1,3.373245232356896,0.0
SHEARWATER RCS,8205092,60.595876169380745,2.775726104162705,0.07834029016363875
SHELBURNE,8205126,58.769827758326485,2.3125751382585245,0.08958034070444429
SYDNEY CS,8205702,61.38332395116346,2.556828393620001,0.18278276792226028
TRURO,8205990,53.73970035003555,2.6129337813002556,-0.02064607108225691
WESTERN HEAD,8206240,71.9028943496038,2.8320763880906976,0.23654357136956752
YARMOUTH A,8206495,62.75472166274011,2.5788901778096447,-0.02264531701539108
BIG TROUT LAKE,6010738,35.072815727394115,2.0196232141229835,0.4547316958090889
EAR FALLS (AUT),6012199,39.22204544573943,2.37719879183596,0.07121411893113781
LANSDOWNE HOUSE (AUT),6014353,38.72482345418361,2.6959883077497597,0.04945666641869215
PICKLE LAKE (AUT),6016525,39.57223034646327,2.435445101624209,0.07752685569937337
RED LAKE A,6016975,37.95328034652381,2.5179585773792867,-0.08945946667101119
ATIKOKAN (AUT),6020LPQ,44.81874238324984,2.365676422920975,0.29971683052316417
KENORA RCS,6034073,48.13206602853832,2.8800073222009064,0.27653725964782533
RAWSON LAKE (AUT),6036907,46.98733623870707,2.74944758030766,0.05827901117926877
SIOUX LOOKOUT A,6037775,41.88466612669377,2.5073905763873765,0.15063894108279607
ARMSTRONG (AUT),6040325,39.26962834550009,2.4756851089716814,-0.20899529599430858
CAMERON FALLS (AUT),6041110,48.197058261212916,2.39103051620678,0.09126515491592442
CARIBOU ISLAND,6041221,38.98569804475626,2.2828770690824536,-0.03677902847199256
GERALDTON A,6042716,41.31410609874,2.466216302273046,0.084945986022511
PUKASKWA NATL PARK,6046770,38.561672273228154,2.6330752601792113,0.21144139826853017
SLATE ISLAND,6047810,40.74677917720875,2.356292257109081,0.03250188293061933
THUNDER BAY CS,6048268,40.89528350305103,2.509325655829076,0.204855217436269
ELLIOT LAKE A,6052259,49.09819093818989,2.5032940797734464,0.3562882504977756
