StationName,StationID,GridCell,δμ,δϕ,δξ
ROYAL ROAD,8104480,33632,-0.5408182797527488,0.016227604887527836,0.013926373495275368
ROYAL ROAD WEST,8104482,33632,0.7583733366258301,-0.0901570779839691,0.04123516108334896
PORT WELLER (AUT),6136699,20197,1.2011767362194945,-0.03200450318896397,-0.12437449367068125
ST CATHARINES A,6137287,20197,-0.2271550514260312,0.011679822798118966,0.017126435077340702
CAMBRIDGE GALT MOE,6141095,18645,0.4590101161890061,-0.10731488159698976,0.0937915379402858
PRESTON WPCP,6146714,18645,4.300090647102053,0.03830548685122359,-0.26067384121976106
WATERLOO WELLINGTON A,6149387,18645,-2.751475525225665,-0.035761261965637114,0.11760650440708062
MAPLE,6154950,19620,2.7479387892463834,-0.3736950744505587,-0.08086470155175016
TORONTO YORK MILLS,615HHDF,19620,2.44196819508889,-0.25001513956349175,0.1287392665252945
TORONTO NORTH YORK,615S001,19620,0.6079513660611369,-0.21506307980268735,0.12506219540145852
TORONTO CITY,6158355,19619,-0.3606742722306535,-0.24407583275266687,-0.18777783470790513
TORONTO OLD WESTON RD,6158764,19619,-2.479557819287159,-0.18515668929285045,-0.09598109266204437
TORONTO BOOTH,6158406,19813,-0.9732963566659905,-0.056077611401478045,-0.07185537144752034
TORONTO GREENWOOD,6158575,19813,-0.4821076282454726,-0.02650398503739204,0.026160121170694522
TORONTO LESLIE EGLINTON,6158732,19813,-1.0289435243198781,-0.39247255555005767,0.2168908034246529
TORONTO ELLESMERE,6158520,19814,-1.621267363995571,0.30066626468074764,0.38620580517288516
TORONTO SENECA HILL,61587PG,19814,-4.736103457587632,0.502382518100652,-0.2848191379871497
WILCOX LAKE,6159510,19621,1.646906046132976,0.01436622933904319,-0.278381511040131
TORONTO BUTTONVILLE A,615HMAK,19621,-0.42683657042272927,-0.006202882580715219,0.1868475396975549
BEAUPORT,7010565,28003,-1.881652434002845,-0.8391541200896437,-0.03841066945466323
CHARLESBOURG PARC ORLEAN,7011309,28003,3.8599039925662737,-0.0055279882151269,-0.5886952475001606
QUEBEC,7016280,28003,2.3357280234881586,-0.05213845332297984,-0.43123826504830637
COURVILLE DE POISSY,701A9E0,28003,-8.528436952624247,-0.15972121345652157,-0.03655856486549262
DUBERGER,7012232,28002,-2.37125093204574,0.2742782340425518,0.5858176748761736
STE FOY MATAPEDIA,7017B65,28002,-7.796038484063722,-0.17978935395210627,0.03310262601860997
STE FOY (PIE XII),7017BFN,28002,-3.9925435087123162,-0.14915002406576283,0.2814095531463881
OKA,7015730,25464,11.870315877678557,0.1764367937739486,-0.5229284494827418
ST BENOIT,7016906,25464,15.609923934928986,0.26215800640471976,-0.6675316364608259
ISLAND BROOK,7023312,28572,0.7120194516920506,0.08162107267085528,-0.09210765180877581
MAPLE LEAF EAST,7024624,28572,-0.8362853706283815,-0.15871083087437388,0.14377600507357605
MONTREAL JAR BOT,7025257,26047,2.70161340422775,-0.018905487304376578,0.06777742322655506
MONTREAL LAFONTAINE,7025267,26047,-2.21838915366947,-0.061075890491893325,0.04040460005250314
MONTREAL MCGILL,7025280,26047,0.017517511706870437,0.0017633818448414829,-0.017486502471214048
BAGOTVILLE A,7060400,27434,-0.20543958122323858,-0.08494625149072288,-0.057647649396857854
LA BAIE,706Q001,27434,2.1140197900378723,0.2899897542900418,0.021233075337213855
