StationName,StationID,δμ,δϕ,δξ
PORT COLBORNE,6136606,-0.00017735127912033022,-4.943404840140886e-6,1.4094631311245553e-6
PORT WELLER (AUT),6136699,8.670294338486428e-5,-3.6141627640429164e-5,3.276981715624738e-5
RIDGETOWN RCS,6137154,-9.302238831310206e-5,-3.6146241666479284e-6,1.0791858788168629e-5
ST CATHARINES A,6137287,0.0001674012344494713,9.35270266078092e-6,-1.878021970621105e-5
ST THOMAS WPCP,6137362,-0.00030531753227336367,-6.1212472930449735e-6,7.794160522170412e-6
SIMCOE,6137730,0.00018794223392859521,3.324841459928507e-6,1.4213810826724238e-5
VINELAND STATION RCS,6139148,0.0002791852183676724,3.885054487895445e-6,-1.3964061517712789e-5
WELLAND-PELHAM,6139449,-0.0002890066753593601,2.0057454216182435e-5,2.2795401971014567e-5
WINDSOR A,6139525,0.0001331474818471179,-1.6948039185393782e-6,8.318470190539495e-6
WINDSOR UNIVERSITY,6139538,-0.00036846754852604136,-1.721720794778392e-5,1.3715379889700507e-5
POINT PELEE CS,613P001,-0.00013251935734359677,1.891700982081801e-5,3.201294178517555e-5
BLUE SPRINGS CREEK,6140818,-0.00010152699125143272,-3.4580566608433116e-5,3.8051125915788964e-5
BRANTFORD MOE,6140954,0.00010861850460486266,-2.07973069072942e-5,-1.639847291248775e-6
CAMBRIDGE GALT MOE,6141095,-0.00037794321534079245,-1.3710629722663015e-5,4.7606617075007795e-5
ELORA RCS,6142286,1.3874769251742691e-5,1.7178353056479523e-5,1.1456184607974707e-5
FERGUS SHAND DAM,6142400,-0.00039530598334636124,-1.444360214630791e-5,2.243034382926057e-6
GLEN ALLAN,6142803,4.9681866791218e-5,-1.8813384483173934e-5,-4.477429244642561e-5
GRAND VALLEY WPCP,6142991,0.00018172376237401977,-4.474226112272106e-6,-9.93677841443219e-6
GUELPH SMALLFIELD FARM,6143087,-0.0002564337792350102,-1.4043989961631809e-5,1.0190386525277262e-5
GUELPH TURFGRASS,6143089,-9.30519598583146e-5,-7.69512606790812e-6,7.468378588199043e-6
KITCHENER CITY ENG 2,6144241,0.0,-6.675899098294359,0.0
LONDON CS,6144478,7.459150293698258e-5,-4.718140672377302e-6,4.761087275349969e-6
MOUNT FOREST (AUT),6145504,0.00011997096444815725,3.631739748044538e-6,6.981805354973336e-6
PRESTON WPCP,6146714,8.433062777157829e-5,-8.50918773531717e-6,1.4210655435942243e-5
PROSPECT HILL,6146745,-0.000181230777641872,8.061062928277352e-6,1.0758418959581906e-5
STRATFORD WWTP,6148105,0.0002966670715238706,1.4605304759385263e-5,-1.9964476709599666e-5
WATERLOO WELLINGTON A,6149387,0.00027117208536253656,5.125605788691701e-6,-2.552250556819846e-5
WOODSTOCK,6149625,0.0004693845940551,2.0928420044086238e-5,-3.1706663925989975e-5
BELLEVILLE,6150689,0.00010329107826834161,6.226384220653358e-6,3.12629220976246e-6
BOWMANVILLE MOSTERT,6150830,-0.0001876476759505863,-1.2176582681266979e-5,1.5433171301704185e-5
BURKETON MCLAUGHLIN,6151042,-4.908693932748065e-5,1.606029899159367e-5,1.0473312619024844e-5
BURLINGTON FIRE HQ'S,6151059,0.00020123202698840714,1.5642970773388498e-5,2.559602398188865e-5
CAMPBELLFORD,6151137,-0.1062951262269749,-0.009330880699107702,0.019801062387306077
COBOURG (AUT),6151684,-0.0001625483188547605,-1.1289673597758565e-5,2.792906796855732e-5
GREENWOOD MTRCA,6153020,-0.0002481071870761298,-1.5486013680732214e-5,1.5697022603400335e-6
HAMILTON A,6153194,2.0744560529806222e-5,1.112782896051101e-6,-2.027072189264567e-5
HAMILTON RBG CS,6153301,-6.3326866523993885e-6,-3.969694488681341e-6,-6.820156203124483e-7
HEART LAKE,6153410,0.0007337941268872328,2.256193117400329e-5,2.637827461737796e-7
MAIN DUCK ISLAND,6154820,0.0001704740396846205,2.0191861235474562e-5,-1.0647472204361463e-5
MAPLE,6154950,-0.00046964281697370325,-4.7389561009580916e-5,7.420621711690112e-6
MILTON KELSO,6155187,6.348439985970344e-5,3.983524343587064e-5,5.435124779129552e-6
OAK RIDGES,6155722,0.0004193621142363213,1.22451870359086e-5,-1.7405339131422448e-5
ORANGEVILLE MOE,6155790,0.0009438847792822003,1.4566216374856111e-5,-4.89668892962869e-5
OSHAWA WPCP,6155878,-0.00020352048741756334,-8.25379470548171e-6,2.0133456335003075e-5
PICTON,6156533,4.769223920675358e-6,3.013540677887505e-6,4.613632087202557e-6
SMITHFIELD CDA,6157831,-0.00029899826636636817,-2.0976195309607704e-6,-7.362974664866517e-7
STOUFFVILLE WPCP,6158084,-0.0002428803315268624,-2.0541014455588424e-5,4.794017270104423e-6
TORONTO CITY,6158355,-0.00010081303310727208,4.538723023639335e-6,-9.140296764270639e-6
TORONTO BOOTH,6158406,-0.00033354526766515846,-4.20133034033654e-5,5.41041058400582e-5
TORONTO ELLESMERE,6158520,-0.00023527252816535338,1.5192810526531986e-5,-1.2516162801144703e-6
TORONTO ETOBICOKE,6158525,0.00025419672579118924,-4.533242772275514e-7,3.064010815301277e-5
TORONTO GREENWOOD,6158575,0.0002371298365702046,-9.261932183424193e-6,3.220107884209511e-5
TORONTO ISLAND A,6158665,4.663554123851554e-5,6.961262708493621e-6,-9.829329824101452e-7
TORONTO INTL A,6158731,-8.38392736568494e-5,-1.0951614560550382e-5,-6.781793441323902e-6
TORONTO LESLIE EGLINTON,6158732,-0.00022340486011529492,1.1209360719632855e-5,-1.8552335841373613e-5
TORONTO MET RES STN,6158740,7.752709194619456e-7,-1.2975115418090155e-5,5.408093158104643e-6
TORONTO OLD WESTON RD,6158764,0.0007614370977790941,4.646363727589531e-5,-4.811257685705117e-5
TORONTO SENECA HILL,61587PG,0.0001346966494892854,9.87337465963023e-6,-1.1281816633734731e-5
TRENTON A,6158875,0.00013599776481498793,2.584825760987286e-6,-9.65762818623539e-6
TWEED,6159010,-0.00022304159826092018,-1.8187798824120804e-5,3.1219813818150755e-5
WILCOX LAKE,6159510,0.0008578397510845548,6.485458616944939e-5,4.782397341318578e-5
TORONTO YORK MILLS,615HHDF,0.0006246113511707563,1.1891902671479215e-6,-2.1431865886656354e-5
TORONTO BUTTONVILLE A,615HMAK,-0.0002444509393342287,-2.7945710396437562e-5,6.643332006006641e-6
OAKVILLE SOUTHEAST WPCP,615N745,-0.00025046193806588235,-9.652706954632606e-6,4.27383153296379e-5
TORONTO NORTH YORK,615S001,-0.00030508428400821685,-2.4736730978691668e-5,-7.473263367585581e-6
HALIBURTON 3,6163171,4.387991031506999e-5,4.8758237802815074e-6,-1.834823392622264e-5
LINDSAY FILTRATION PLANT,6164432,-0.00013333124551451192,-9.384502339226941e-6,-7.413750195417457e-7
PETERBOROUGH A,6166418,6.324859300832486e-5,1.937205680979659e-5,-3.889672477969119e-6
PETERBOROUGH STP,6166450,-6.932122774117033e-5,-9.78043392052541e-7,2.4833480067876224e-6
PETERBOROUGH TRENT U,6166456,0.00029457176785996353,6.533951714349229e-6,-2.645245503518634e-5
WEST GUILFORD,6169453,4.005711912213883e-5,-4.526756720579783e-6,-1.717533202744148e-5
CHARLOTTETOWN A,8300301,0.0005402863958394732,-2.4673979082123765e-5,3.696491338217589e-6
SUMMERSIDE,8300596,-0.000108086336055635,-3.6970280139492218e-6,1.8257069654189356e-5
HARRINGTON CDA CS,830P001,0.0002055994278862272,1.3559956421271835e-5,-5.7420429491472635e-6
BEAUPORT,7010565,0.0002649174889342021,6.366917956923679e-5,-1.1325984972568315e-5
CHARLESBOURG PARC ORLEAN,7011309,-3.3991433667779347e-6,-3.1069002015549074e-6,1.1818835034649311e-5
DESCHAMBAULT,7011982,0.00031994181401273636,1.2112921803808518e-5,-3.061903251976028e-5
DUBERGER,7012232,-0.0006336611552697491,-9.237396526806663e-6,1.0866028159028929e-5
DUCHESNAY,7012240,0.0003144349879846686,-3.4285784367149574e-6,1.0602137476833917e-6
JOLIETTE VILLE,7013362,-0.00021615701001564958,-2.2497361709117314e-5,2.5685890332749484e-5
L'ASSOMPTION,7014160,-7.09375974707882e-5,3.520776231891176e-6,4.2059382041048643e-7
OKA,7015730,-0.00010120471269914333,1.734339827130782e-5,1.8096578712991154e-5
QUEBEC,7016280,-7.206752360389146e-5,2.122817457239634e-5,-1.8851652649393147e-5
ST ALBAN,7016800,0.00015220506071500495,2.2428486997405628e-5,-1.0862790387367038e-5
ST AUGUSTIN,7016900,6.453907172954132e-5,-1.229473550301563e-5,-2.9188963334148e-6
STE BEATRIX,7016902,0.00017695094938119382,2.7222791628478404e-5,8.678353006441597e-6
ST BENOIT,7016906,-9.935836144592258e-5,-2.4533902962975418e-5,2.942079587381352e-5
STE CATHERINE,7016932,0.0009322551660417844,1.0223336190939847e-5,6.846978237495804e-6
ST DONAT,7017100,0.00016310271800534792,-1.9641958902028023e-5,6.451792099043674e-7
STE FOY MATAPEDIA,7017B65,0.0010083914497727164,5.375363272808187e-5,-7.653451643832576e-5
STE FOY (PIE XII),7017BFN,-0.00047901465946154076,2.0273524443226165e-5,6.340118842484976e-6
SHAWINIGAN,7018001,0.00018643522640360288,-3.998023306639453e-6,-1.0729930552400013e-6
COURVILLE DE POISSY,701A9E0,-0.0005719420379364237,3.089978966741569e-5,-9.798810208128117e-6
TROIS RIVIERES AQUEDUC,701HE63,-4.1553065514676746e-5,-9.533919671511626e-6,7.248138856344455e-6
QUEBEC JEAN LESAGE INTL,701S001,0.00013995358565210836,7.522779482016517e-6,-2.590430151314105e-6
ARTHABASKA,7020305,0.00019856301376819374,-3.644205845310111e-6,-1.1992161178531191e-5
ASBESTOS,7020360,-0.00019628066986143722,2.4954973530721958e-5,-2.102182594118651e-5
BROME,7020840,0.00020547609000942657,2.906219033871338e-6,9.924066992406111e-6
CHARTIERVILLE,7021320,-0.00030988572447654406,-2.8468159963601636e-5,3.788412942740127e-6
DANVILLE,7021954,-0.0006635618972268276,-5.704251172877761e-5,3.590943742259878e-5
DRUMMONDVILLE,7022160,-0.0001621810146659186,4.841299091840057e-6,-1.8969199765753175e-6
FORTIERVILLE,7022494,-0.0002632692868189679,1.2679290057437953e-5,1.962950231931826e-5
GEORGEVILLE,7022720,0.0006331915282302703,-1.0619103484099668e-5,-1.2895249463351632e-5
GRANBY,7022800,-1.7890144938803587e-5,-9.323836644981043e-6,2.592782820647066e-5
ISLAND BROOK,7023312,-6.69617016058055e-5,1.937666446849562e-6,1.535550086819229e-5
LAC MEGANTIC 2,7023677,-0.0002547632946416911,-3.946220197725836e-6,1.4238627869589404e-5
LAUZON,7024254,-0.00011367241457804766,1.266273724542799e-5,1.4085428332810679e-5
LENNOXVILLE,7024280,0.00024827849291853,1.1402828604456516e-5,-1.9370037415235297e-5
LINGWICK,7024320,0.00011125426257763138,1.5061582067765755e-5,8.162999616201372e-6
MAPLE LEAF EAST,7024624,-0.00030468106060510536,-1.4885934505048937e-5,1.4220051118840615e-5
MONT MEGANTIC,7025212,0.00045833228094949163,5.052753260059717e-5,-1.957973401389701e-5
MONTREAL JAR BOT,7025257,-3.829458063364655e-5,-6.168096563730074e-6,-1.7326122774274921e-6
MONTREAL JEAN BREBEUF,7025260,-5.910970514833025e-6,4.808733072181326e-6,-4.7812730421870064e-5
MONTREAL LAFONTAINE,7025267,0.0003446987745547858,2.3920633409613146e-5,4.2398762975653925e-6
MONTREAL MCGILL,7025280,-0.00010810775528824479,-4.9871594685058085e-6,1.9155948082223706e-5
NICOLET,7025440,-0.0006173723284774724,-7.808795809971514e-6,7.954349020650175e-6
ORMSTOWN,7025745,0.00024335520069485028,-7.929082409319221e-6,-3.415564014466743e-6
STE ANNE DE BELLEVUE,7026839,-4.29159601083029e-5,1.3654270234475518e-6,-1.2380727597766095e-5
STE CLOTHILDE CDA,7027040,-0.00022853296388092303,-8.413010907037943e-6,2.2852467813916366e-5
STE DOROTHEE,7027110,-0.00013597274367782575,1.0642441458763585e-5,-1.2469824868868717e-5
STE EDWIDGE,7027120,-0.00018959100897575354,-1.976576448736722e-6,-1.9867070685464228e-5
ST EPHREM,7027200,-0.00029939339284368316,7.128038249426538e-6,4.831736389127039e-6
ST FERDINAND,7027248,-5.1139827370150215e-5,-2.6627127763134695e-5,-2.5859718496057393e-5
ST FLAVIEN,7027259,-0.0001074693352549616,-1.8428443528728522e-5,1.44870188798496e-5
ST GEORGES,7027283,-0.00011049993121048374,-1.1988351092284688e-5,6.962088247880471e-6
ST GUILLAUME,7027302,3.9321261738223257e-5,-9.21591858737969e-6,-1.4933313929654801e-5
MONTREAL ST-HUBERT A,7027320,0.0005639535055479428,-1.288299862078901e-5,-4.324469986549673e-7
ST ISIDORE D'AUCKLAND,7027372,-0.000310552800009134,-1.9003084311908225e-5,-2.9710554601061756e-6
STE MADELEINE,7027517,0.0004549569383840435,2.2180883383349226e-6,-2.8645543908301097e-6
ST PIERRE DE BROUGHTON,7027656,-8.288499711284203e-5,-1.0351162327726371e-5,2.6123249728025877e-5
ST SEBASTIEN,7027725,-0.0002471178503284932,1.2747769111420837e-5,-2.220079275394582e-5
ST THEOPHILE,7027750,1.6021590099057903e-5,6.461395942292114e-6,-1.4062477235066151e-5
ST ZACHARIE,7027785,0.00014347277873838493,-4.7473846378487394e-6,1.1645508171086172e-6
SAWYERVILLE NORD,7027802,0.0002720797327810942,-1.976627254274277e-5,-7.566181139645467e-6
SHERBROOKE,7028120,0.0007140360359443321,1.2160792070226023e-5,5.810370702907797e-6
SHERBROOKE A,7028124,4.773893309106825e-5,6.1395200909863945e-6,8.176815181896308e-6
THETFORD MINES,7028441,-0.00020937577811963592,-1.1471653882821897e-5,1.3986599672333178e-6
VALLEE JONCTION,7028676,-9.293545531363634e-5,-2.758282199089024e-6,-1.5274209017729357e-5
VALLEYFIELD,7028680,-0.0004184214771143502,-2.8983957821804296e-5,-2.3273466096540574e-6
BEAUCEVILLE,7028754,0.0,-14.657214239280378,0.0
WEST DITTON,7028906,-0.00016425993641178138,-2.29327555869574e-5,1.553542584287193e-5
WOBURN,7028946,0.00021120486811554429,1.1748173197823064e-5,-1.118044659448314e-5
L'ACADIE,702LED4,0.0007486642441989488,3.899405582119542e-5,-5.5686986901282154e-5
MONTREAL PIERRE ELLIOTT TRUDEAU INTL,702S006,9.307926359269914e-5,1.1238896613807725e-5,1.2111355492144815e-5
ANGERS,7030170,-0.00032838258249512364,-1.1128785807557051e-5,2.7605261411559057e-6
BARRAGE MERCIER,7030457,-0.0006613408292537315,-3.051779292251311e-5,5.3358978118200895e-5
CHENEVILLE,7031375,0.00012003951331251983,-1.2921394642262385e-5,4.90775253225717e-6
MANIWAKI UA,7034480,-0.00022095208446160086,-2.841828457178508e-5,1.4462719374663813e-5
MONTREAL MIRABEL INT'L A,7035290,-8.83608176280859e-5,7.506920995936639e-8,6.461839289928495e-6
NOMININGUE,7035520,-0.00013174947964955663,-1.4259250358250597e-6,-2.0602056132877633e-5
STE AGATHE DES MONTS,7036762,-0.0002205304563176469,-1.7643758698060452e-5,1.0310820564411044e-5
ST JEROME,7037400,0.00022595102164757463,-1.7439775819472203e-5,-2.0119915206673333e-6
SHAWVILLE,7038040,-0.00028821405474133144,-1.1126332784883175e-5,1.7669367175010553e-5
BAIE-COMEAU A,7040440,-0.0001484771249877781,1.0738649792063626e-5,-3.427290620194867e-6
BAIE ST PAUL,7040446,0.0011083324337235467,1.7622813459183817e-5,-2.749196067330928e-5
LOURDES DE BLANC SABLON A,7040813,0.00011086370903257148,1.558236999921192e-5,3.5697882132534886e-6
CAP TOURMENTE,7041177,0.00026039673550570797,2.7839111697236518e-5,-7.982999422506687e-5
CHARLEVOIX (MRC),7041312,-0.000375519330049201,-1.4475269254798917e-5,2.5783862932060586e-5
FORESTVILLE,7042378,-0.00019682342534821373,-1.3488435455233372e-5,1.5748537995553813e-5
